,FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID,CONFIDENCE,Label
0,./kaggletest/abethr1/,XC363504.ogg,42.34448979591837,0,5.0,5.0,44100,no bird,1.0,264
1,./kaggletest/abethr1/,XC432639.ogg,25.39199546485261,0,15.0,5.0,44100,no bird,1.0,264
2,./kaggletest/abethr1/,XC467121.ogg,42.6309977324263,0,5.0,5.0,44100,no bird,1.0,264
3,./kaggletest/abethr1/,XC616997.ogg,44.35199546485261,0,15.0,5.0,44100,no bird,1.0,264
4,./kaggletest/abethr1/,XC616997.ogg,44.35199546485261,0,25.0,5.0,44100,no bird,1.0,264
5,./kaggletest/abethr1/,XC616997.ogg,44.35199546485261,0,35.0,5.0,44100,no bird,1.0,264
6,./kaggletest/abhori1/,XC462078.ogg,12.016303854875284,0,5.0,5.0,44100,no bird,1.0,264
7,./kaggletest/abhori1/,XC127317.ogg,44.24399092970521,0,5.0,5.0,44100,no bird,1.0,264
8,./kaggletest/abhori1/,XC127317.ogg,44.24399092970521,0,15.0,5.0,44100,no bird,1.0,264
9,./kaggletest/abhori1/,XC127317.ogg,44.24399092970521,0,30.0,5.0,44100,no bird,1.0,264
10,./kaggletest/abhori1/,XC127317.ogg,44.24399092970521,0,35.0,5.0,44100,no bird,1.0,264
11,./kaggletest/abhori1/,XC323330.ogg,67.89598639455782,0,10.0,5.0,44100,no bird,1.0,264
12,./kaggletest/abhori1/,XC323330.ogg,67.89598639455782,0,15.0,5.0,44100,no bird,1.0,264
13,./kaggletest/abhori1/,XC323330.ogg,67.89598639455782,0,30.0,5.0,44100,no bird,1.0,264
14,./kaggletest/abhori1/,XC323330.ogg,67.89598639455782,0,40.0,5.0,44100,no bird,1.0,264
15,./kaggletest/abhori1/,XC323330.ogg,67.89598639455782,0,45.0,5.0,44100,no bird,1.0,264
16,./kaggletest/abhori1/,XC323330.ogg,67.89598639455782,0,55.0,5.0,44100,no bird,1.0,264
17,./kaggletest/abhori1/,XC294766.ogg,45.32242630385488,0,10.0,5.0,44100,no bird,1.0,264
18,./kaggletest/abhori1/,XC120250.ogg,38.00814058956916,0,10.0,5.0,44100,no bird,1.0,264
19,./kaggletest/abhori1/,XC120250.ogg,38.00814058956916,0,20.0,5.0,44100,no bird,1.0,264
20,./kaggletest/abhori1/,XC120250.ogg,38.00814058956916,0,25.0,5.0,44100,no bird,1.0,264
21,./kaggletest/abhori1/,XC120250.ogg,38.00814058956916,0,30.0,5.0,44100,no bird,1.0,264
22,./kaggletest/abhori1/,XC452592.ogg,27.335986394557825,0,20.0,5.0,44100,no bird,1.0,264
23,./kaggletest/abhori1/,XC247348.ogg,34.82120181405896,0,5.0,5.0,44100,no bird,1.0,264
24,./kaggletest/abhori1/,XC634810.ogg,53.25598639455782,0,35.0,5.0,44100,no bird,1.0,264
25,./kaggletest/abhori1/,XC750200.ogg,30.511020408163265,0,5.0,5.0,44100,no bird,1.0,264
26,./kaggletest/abhori1/,XC389623.ogg,113.88,0,50.0,5.0,44100,no bird,1.0,264
27,./kaggletest/abhori1/,XC459522.ogg,21.49877551020408,0,15.0,5.0,44100,no bird,1.0,264
28,./kaggletest/abhori1/,XC473731.ogg,49.03183673469388,0,35.0,5.0,44100,no bird,1.0,264
29,./kaggletest/abhori1/,XC393449.ogg,17.97598639455782,0,0.0,5.0,44100,no bird,1.0,264
30,./kaggletest/abhori1/,XC288640.ogg,74.57959183673469,0,0.0,5.0,44100,no bird,1.0,264
31,./kaggletest/abhori1/,XC288640.ogg,74.57959183673469,0,55.0,5.0,44100,no bird,1.0,264
32,./kaggletest/abhori1/,XC288640.ogg,74.57959183673469,0,65.0,5.0,44100,no bird,1.0,264
33,./kaggletest/abhori1/,XC748241.ogg,72.36,0,5.0,5.0,44100,no bird,1.0,264
34,./kaggletest/abhori1/,XC748241.ogg,72.36,0,10.0,5.0,44100,no bird,1.0,264
35,./kaggletest/abhori1/,XC748241.ogg,72.36,0,25.0,5.0,44100,no bird,1.0,264
